timestamp,main_state,transition_reason,basestation,flight_number
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198297527,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282896959,4,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282896959,4,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282896959,4,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282896959,4,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282896959,4,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282896959,4,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286643748,3,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318031272,11,7,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
396349848,2,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
