timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,basestation,flight_number
58855473,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
59862501,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
60870243,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
61889485,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
62908753,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
63909485,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
64925476,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
65927492,125.0,1,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66011480,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67018416,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
68037489,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
69042493,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
70052640,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
71069650,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
72071169,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
73073489,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
74075486,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
75090979,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
76092862,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
77103161,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
78119123,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
79119760,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
80125491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
81137492,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
82154479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
83168592,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
84170583,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
85171764,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
86183491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
87200863,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
88217001,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
89223491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
90228187,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
91241751,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
92243249,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
93261481,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
94269832,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
95276332,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
96294503,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
97303231,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
98322492,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
99335048,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
100343322,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
101347486,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
102362652,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
103364309,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
104365654,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
105373115,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
106380633,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
107388858,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
108403492,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
109405659,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
110421011,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
111421595,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
112438523,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
113446683,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
114469020,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
115474360,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
116493479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
117494479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
118496529,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
119498529,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
120507488,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
121519479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
122526029,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
123526209,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
124531986,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
125549690,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
126559413,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
127565479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
128583479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
129596110,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
130603272,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
131622479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
132628036,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
133640554,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
134658388,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
135666442,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
136671276,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
137692116,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
138710627,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
139723147,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
140735505,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
141737560,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
142739503,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
143755936,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
144765214,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
145776567,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
146788006,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
147789605,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
148800599,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
149805420,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
150810492,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
151813559,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
152815479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
153832545,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
154837520,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
155841811,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
156858417,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
157869557,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
158883111,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
159894495,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160917421,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161917723,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
162932199,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
163934492,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
164935041,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
165938479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
166946504,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
167949505,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
168965481,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
169970483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
170991323,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
171995491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
173010481,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
174021483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
175041770,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
176044565,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
177045495,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
178050707,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
179051288,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
180054925,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
181067491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
182077367,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
183092791,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
184112596,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
185133687,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
186139333,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
187154299,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
188158518,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
189172604,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
190182521,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
191198665,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
192200816,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
193203524,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
194226324,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
195236566,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
196249535,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
197262671,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
198277491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
199285899,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
200303880,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
201325545,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
202339235,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
203344649,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
204346950,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
205352750,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
206374297,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
207384044,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
208389894,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
209405518,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
210427983,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
211433417,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
212442196,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
213446657,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
214455729,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215467483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216484601,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217492554,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218509888,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219511918,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
220521590,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
221543842,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
222545453,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
223563110,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
224572637,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
225587489,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
226607787,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
227617895,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
228622877,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
229640642,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
230646629,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
231646714,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
232659738,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
233667445,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
234686532,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
235695521,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236702479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237703116,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238704413,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239728073,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240740563,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241742479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
242747933,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
243753376,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
244762520,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
245766943,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
